Title,Rating,Price,Avalability,expensive,purchased,quantity_purchased,Gender,added_to_cart
A Light in the Attic,3,51.77,In stock,Expensive,0,0,Male,5
Tipping the Velvet,1,53.74,In stock,Expensive,0,0,Male,4
Soumission,1,50.1,In stock,Expensive,0,0,Male,1
Sharp Objects,4,47.82,In stock,Expensive,0,0,Female,3
Sapiens: A Brief History of Humankind,5,54.23,In stock,Expensive,0,0,Male,5
The Requiem Red,1,22.65,In stock,Not Expensive,0,0,Female,5
The Dirty Little Secrets of Getting Your Dream Job,4,33.34,In stock,Not Expensive,1,3,Female,5
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,17.93,In stock,Not Expensive,1,3,Male,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,22.6,In stock,Not Expensive,1,3,Female,5
The Black Maria,1,52.15,In stock,Expensive,0,0,Male,0
"Starving Hearts (Triangular Trade Trilogy, #1)",2,13.99,In stock,Not Expensive,0,0,Male,1
Shakespeare's Sonnets,4,20.66,In stock,Not Expensive,1,1,Male,5
Set Me Free,5,17.46,In stock,Not Expensive,1,2,Male,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,In stock,Expensive,0,0,Male,0
Rip it Up and Start Again,5,35.02,In stock,Expensive,1,2,Male,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,57.25,In stock,Expensive,0,0,Female,3
Olio,1,23.88,In stock,Not Expensive,0,0,Male,5
Mesaerion: The Best Science Fiction Stories 1800-1849,1,37.59,In stock,Expensive,0,0,Female,5
Libertarianism for Beginners,2,51.33,In stock,Expensive,0,0,Female,4
It's Only the Himalayas,2,45.17,In stock,Expensive,0,0,Female,4
In Her Wake,1,12.84,In stock,Not Expensive,0,0,Male,5
How Music Works,2,37.32,In stock,Expensive,0,0,Male,5
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,30.52,In stock,Not Expensive,1,1,Male,3
Chase Me (Paris Nights #2),5,25.27,In stock,Not Expensive,1,1,Female,5
Black Dust,5,34.53,In stock,Not Expensive,1,3,Male,5
Birdsong: A Story in Pictures,3,54.64,In stock,Expensive,0,0,Male,5
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,22.5,In stock,Not Expensive,1,1,Male,3
Aladdin and His Wonderful Lamp,3,53.13,In stock,Expensive,0,0,Male,4
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,5,40.3,In stock,Expensive,0,0,Male,2
Wall and Piece,4,44.18,In stock,Expensive,0,0,Male,5
The Four Agreements: A Practical Guide to Personal Freedom,5,17.66,In stock,Not Expensive,1,1,Male,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,31.05,In stock,Not Expensive,1,2,Female,5
The Elephant Tree,5,23.82,In stock,Not Expensive,1,2,Male,1
The Bear and the Piano,1,36.89,In stock,Expensive,0,0,Male,5
Sophie's World,5,15.94,In stock,Not Expensive,1,1,Male,4
Penny Maybe,3,33.29,In stock,Not Expensive,1,3,Female,2
Maude (1883-1993):She Grew Up with the country,2,18.02,In stock,Not Expensive,0,0,Male,3
"In a Dark, Dark Wood",1,19.63,In stock,Not Expensive,0,0,Female,5
Behind Closed Doors,4,52.22,In stock,Expensive,0,0,Female,4
You can't bury them all: Poems,2,33.63,In stock,Not Expensive,0,0,Female,3
Slow States of Collapse: Poems,3,57.31,In stock,Expensive,0,0,Male,2
Reasons to Stay Alive,2,26.41,In stock,Not Expensive,0,0,Female,1
Private Paris (Private #10),5,47.61,In stock,Expensive,0,0,Male,3
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,23.11,In stock,Not Expensive,1,4,Female,5
Without Borders (Wanderlove #1),2,45.07,In stock,Expensive,0,0,Male,3
When We Collided,1,31.77,In stock,Not Expensive,0,0,Female,0
"We Love You, Charlie Freeman",5,50.27,In stock,Expensive,0,0,Male,3
Untitled Collection: Sabbath Poems 2014,4,14.27,In stock,Not Expensive,1,2,Female,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",4,44.18,In stock,Expensive,0,0,Female,1
Unicorn Tracks,3,18.78,In stock,Not Expensive,1,2,Male,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,25.52,In stock,Not Expensive,0,0,Female,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,In stock,Not Expensive,0,0,Male,5
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,31.12,In stock,Not Expensive,1,3,Male,5
This One Summer,4,19.49,In stock,Not Expensive,1,1,Male,3
Thirst,5,17.27,In stock,Not Expensive,1,5,Female,2
The Torch Is Passed: A Harding Family Story,1,19.09,In stock,Not Expensive,0,0,Female,1
The Secret of Dreadwillow Carse,1,56.13,In stock,Expensive,0,0,Female,5
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,56.41,In stock,Expensive,0,0,Female,3
The Past Never Ends,4,56.5,In stock,Expensive,0,0,Male,5
The Natural History of Us (The Fine Art of Pretending #2),3,45.22,In stock,Expensive,0,0,Male,5
The Nameless City (The Nameless City #1),4,38.16,In stock,Expensive,1,2,Male,5
The Murder That Never Was (Forensic Instincts #5),3,54.11,In stock,Expensive,0,0,Female,5
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4,42.96,In stock,Expensive,0,0,Female,2
